Date : 2025-06-04 13:45:09
Directory : c:\Users\mattr\Isometric Alpha
Total : 1007 files,  145172 codes, 11315 comments, 36935 blanks, all 193422 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\CharacterFacing.cs                                                                      | C#          |         90 |          0 |         16 |        106 |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\EnemyMovement.cs                                                                        | C#          |        682 |         11 |        165 |        858 |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\MovementManager.cs                                                                      | C#          |        548 |         52 |        139 |        739 |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\NPCMovement.cs                                                                          | C#          |         22 |          0 |          7 |         29 |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\PartyMemberMovement.cs                                                                  | C#          |         93 |          0 |         22 |        115 |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\PlayerMovement.cs                                                                       | C#          |        912 |         21 |        238 |      1,171 |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\Transitions\NewSceneTransition.cs                                                       | C#          |         41 |          0 |         11 |         52 |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\Transitions\SceneTransitionPosition.cs                                                  | C#          |         10 |          0 |          2 |         12 |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\Transitions\SceneTransitionToExactPosition.cs                                           | C#          |         78 |          6 |         23 |        107 |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\Transitions\TransitionManager.cs                                                        | C#          |        158 |          2 |         41 |        201 |
| c:\Users\mattr\Isometric Alpha\Assets\src\Movement\Transitions\TransitionPosition.cs                                                       | C#          |         14 |          0 |          4 |         18 |
| c:\Users\mattr\Isometric Alpha\Assets\src\NPCs\IndividualSpawnOnSceneStart.cs                                                              | C#          |         37 |          1 |         16 |         54 |
| c:\Users\mattr\Isometric Alpha\Assets\src\NPCs\NPCCombatInfo.cs                                                                            | C#          |         54 |          0 |         14 |         68 |
| c:\Users\mattr\Isometric Alpha\Assets\src\NPCs\NPCGridAlign.cs                                                                             | C#          |         16 |          0 |          8 |         24 |
| c:\Users\mattr\Isometric Alpha\Assets\src\NPCs\Population.cs                                                                               | C#          |         23 |          1 |          8 |         32 |
| c:\Users\mattr\Isometric Alpha\Assets\src\NPCs\PopulationSpawnOnSceneAddOns.cs                                                             | C#          |         37 |          1 |         16 |         54 |
| c:\Users\mattr\Isometric Alpha\Assets\src\NPCs\PopulationSpawnOnSceneStart.cs                                                              | C#          |         29 |          8 |         14 |         51 |
| c:\Users\mattr\Isometric Alpha\Assets\src\NPCs\SortLayerManager.cs                                                                         | C#          |         12 |          1 |          4 |         17 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\ChoiceDescription.cs                                                      | C#          |         69 |          0 |         19 |         88 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\ChoiceKey.cs                                                              | C#          |         31 |          0 |         10 |         41 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\ChoiceManager.cs                                                          | C#          |         28 |          0 |          7 |         35 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\Dialogue.cs                                                               | C#          |         36 |          0 |          9 |         45 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\DialogueChoice.cs                                                         | C#          |         24 |          0 |          7 |         31 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\DialogueList.cs                                                           | C#          |        105 |          2 |         31 |        138 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\DialogueManager.cs                                                        | C#          |        856 |         39 |        370 |      1,265 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\DialogueTrigger.cs                                                        | C#          |         27 |          0 |          9 |         36 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\DialogueUponEntryTrigger.cs                                               | C#          |         70 |          0 |         22 |         92 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\FadeToBlackManager.cs                                                     | C#          |        147 |          0 |         58 |        205 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\NPCParent.cs                                                              | C#          |         20 |          0 |          5 |         25 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\PageB4Leaving.ink                                                         | Ink         |          2 |          0 |          0 |          2 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\PageB4Leaving.json                                                        | JSON        |          1 |          0 |          0 |          1 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Dialogue\VaultableObject.cs                                                        | C#          |          9 |          0 |          6 |         15 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Combat\CombatActionOrderRow.cs                                          | C#          |         87 |          0 |         26 |        113 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Combat\CombatPopupParentDeclarer.cs                                     | C#          |         18 |          0 |          4 |         22 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Combat\CombatResultsPopUpButton.cs                                      | C#          |         31 |          0 |          9 |         40 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Combat\CombatUI.cs                                                      | C#          |        103 |          2 |         32 |        137 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Combat\CurrentActionHoverPanelManager.cs                                | C#          |         38 |          0 |         15 |         53 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Combat\ResolveTurnButton.cs                                             | C#          |         10 |          0 |          4 |         14 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Combat\RetreatUIManager.cs                                              | C#          |         83 |          0 |         17 |        100 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Combat\SelectorParentDeclarer.cs                                        | C#          |         10 |          0 |          2 |         12 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\BinaryDescisionPanel.cs                                  | C#          |         39 |          0 |         13 |         52 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\Decisions\DeleteSaveFile.cs                              | C#          |         27 |          0 |         10 |         37 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\Decisions\IDecision.cs                                   | C#          |         10 |          0 |          4 |         14 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\Decisions\LoadSaveFile.cs                                | C#          |        121 |          1 |         44 |        166 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\Decisions\OverwriteSaveFile.cs                           | C#          |         29 |          0 |         12 |         41 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\Decisions\QuitToDesktop.cs                               | C#          |         21 |          0 |          8 |         29 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\Decisions\Retreat.cs                                     | C#          |         83 |          0 |         24 |        107 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\Decisions\ReturnToMainMenu.cs                            | C#          |         24 |          0 |          9 |         33 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\ItemDecisionPanel.cs                                     | C#          |        290 |        168 |         75 |        533 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\SaveLoadDecisionPanel.cs                                 | C#          |         26 |          1 |          7 |         34 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DecisionPanels\UpgradePartyMemberDecisionPanel.cs                       | C#          |         62 |          0 |         16 |         78 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Declarers\GridDeclarer.cs                                               | C#          |         17 |          4 |          5 |         26 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Declarers\PopupParentDeclarer.cs                                        | C#          |         19 |          0 |          4 |         23 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Declarers\ScreenBackgroundDeclarer.cs                                   | C#          |         18 |          0 |          6 |         24 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Declarers\UIParentDeclarer.cs                                           | C#          |         19 |          0 |          5 |         24 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DescriptionPanel\DescriptionPanel.cs                                    | C#          |        177 |        103 |         48 |        328 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DescriptionPanel\DialogueDescriptionPanel.cs                            | C#          |         16 |          7 |          8 |         31 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\DescriptionPanel\MultiStackableTraitDescriptionPanel.cs                 | C#          |         10 |          0 |          6 |         16 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Editor\InterfaceReferencePropertyDrawer.cs                              | C#          |         33 |          0 |          5 |         38 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\EscapeStack.cs                                                          | C#          |         49 |          0 |         11 |         60 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Glossary\GlossaryCategory.cs                                            | C#          |         71 |          0 |         22 |         93 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Glossary\GlossaryCategoryList.cs                                        | C#          |         18 |          0 |          8 |         26 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Glossary\GlossaryEntry.cs                                               | C#          |         59 |          0 |         18 |         77 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Glossary\GridGlossaryEntry.cs                                           | C#          |         45 |          0 |         15 |         60 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Glossary\WrittenGlossaryEntry.cs                                        | C#          |         12 |          0 |          3 |         15 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\GridRows\ChoiceGridRow.cs                                               | C#          |         16 |          1 |          5 |         22 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\GridRows\GridRow.cs                                                     | C#          |         93 |          5 |         27 |        125 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\GridRows\ShopKeeperRow.cs                                               | C#          |         10 |          0 |          2 |         12 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\InputBars\AutoSelectInputBar.cs                                         | C#          |         18 |          0 |          7 |         25 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\InterfaceEditorSupport\InterfaceReference.cs                            | C#          |         10 |          0 |          2 |         12 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\LoadingScreen\LoadingBarProgressTracker.cs                              | C#          |         76 |          0 |         23 |         99 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\LoadingTipManager.cs                                                    | C#          |        108 |          1 |         31 |        140 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Notifications\NotificationFader.cs                                      | C#          |        118 |          0 |         28 |        146 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Notifications\NotificationManager.cs                                    | C#          |        104 |          0 |         29 |        133 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\OverallUIManager.cs                                                     | C#          |         94 |          0 |         21 |        115 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PartyMemberHealingScreen\UseItemOnPartyMemberButton.cs                  | C#          |         32 |          0 |         12 |         44 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Perks\PerkCategory.cs                                                   | C#          |         36 |          0 |         15 |         51 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Perks\PerkCategoryList.cs                                               | C#          |         25 |          3 |          9 |         37 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\BinaryPanelPopUpButton.cs                           | C#          |         61 |          0 |         13 |         74 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\BookPopUpButton.cs                                  | C#          |         59 |          0 |         18 |         77 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\CharacterCreationPopUpButton.cs                     | C#          |         29 |          0 |          7 |         36 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\DialogueTrackerButton.cs                            | C#          |         68 |          0 |         20 |         88 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\EditAbilityWheelButton.cs                           | C#          |         22 |          0 |          4 |         26 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\FormationEditorButton.cs                            | C#          |         29 |          0 |          7 |         36 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\GameOverPopUpButton.cs                              | C#          |         28 |          0 |          7 |         35 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\HoverPanelPopUpButton.cs                            | C#          |         34 |          0 |         10 |         44 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\LevelUpPopUpButton.cs                               | C#          |         47 |          0 |         12 |         59 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\LoadScreenButton.cs                                 | C#          |         48 |          1 |         15 |         64 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\NotificationPopUpButton.cs                          | C#          |         39 |          1 |         13 |         53 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\PopUpButton.cs                                      | C#          |        151 |          0 |         37 |        188 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\ShopPopUpButton.cs                                  | C#          |         42 |          0 |         12 |         54 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpButtons\TutorialPopUpButton.cs                              | C#          |        128 |          1 |         40 |        169 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\BookPopUpWindow.cs                                  | C#          |         59 |          0 |         15 |         74 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\CharacterCreationPopUpWindow.cs                     | C#          |        150 |         11 |         43 |        204 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\DialogueTracker\DialogueLine.cs                     | C#          |         60 |          4 |         16 |         80 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\DialogueTracker\DialogueTrackerWindow.cs            | C#          |         50 |         10 |         15 |         75 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\FullEditAbilityWheelPopUpWindow.cs                     | C#          |        147 |          1 |         48 |        196 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\EditPartyWindow.cs                                  | C#          |        157 |          0 |         35 |        192 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\GameOverPopUpWindow.cs                              | C#          |         33 |          4 |         10 |         47 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\HoverPanel\HoverPanel.cs                            | C#          |         40 |          7 |         12 |         59 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\HoverPanel\NestedDescriptionPanelMouseListener.cs   | C#          |         90 |          0 |         31 |        121 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\LevelUpWindow.cs                                    | C#          |        164 |          1 |         41 |        206 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\NotificationPopUpWindow.cs                          | C#          |         65 |          0 |         21 |         86 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\PageReaderPopUpWindow.cs                            | C#          |        115 |          0 |         27 |        142 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\PopUpWindow.cs                                      | C#          |         31 |          0 |          8 |         39 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\ShopPopUpWindow.cs                                  | C#          |        349 |          0 |        100 |        449 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\PopUps\PopUpWindows\TutorialPopUpWindow.cs                              | C#          |         40 |          0 |         12 |         52 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\RowManager.cs                                                           | C#          |         12 |          2 |          5 |         19 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\ScreenButtonManager.cs                                                  | C#          |         48 |          0 |         13 |         61 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\ScreenButtonManager\SideScreenButtonManager.cs                          | C#          |         30 |          0 |          9 |         39 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\ScreenManagers\FormationHandler.cs                                      | C#          |         23 |          0 |          7 |         30 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\ScreenManagers\JournalHandler.cs                                        | C#          |        202 |          0 |         48 |        250 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\ScreenManagers\SaveHandler.cs                                           | C#          |        240 |          4 |         68 |        312 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\ScreenManagers\ScreenManager.cs                                         | C#          |        381 |         26 |        121 |        528 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\ScreenState.cs                                                          | C#          |         36 |          0 |         11 |         47 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\ScrollableTabList.cs                                                    | C#          |         57 |          1 |         15 |         73 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\ScrollableUIElement.cs                                                  | C#          |        394 |          8 |         92 |        494 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Sorting\ColumnHeader.cs                                                 | C#          |         61 |          0 |         14 |         75 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Sorting\ColumnHeaderButton.cs                                           | C#          |         25 |          0 |          5 |         30 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Sorting\ComparerList.cs                                                 | C#          |        161 |          0 |         35 |        196 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\StatsPanels\AffinityTracker.cs                                          | C#          |         12 |          0 |          3 |         15 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\StatsPanels\InventoryStatsPanel.cs                                      | C#          |         25 |          0 |         11 |         36 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\StatsPanels\PrimaryStatsPanel.cs                                        | C#          |         60 |          0 |         14 |         74 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\StatsPanels\SecondaryStatsPanel.cs                                      | C#          |         33 |          0 |         11 |         44 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\StatsPanels\SideStatsPanel.cs                                           | C#          |         23 |          0 |          7 |         30 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\TestGridSnap.cs                                                         | C#          |         11 |          1 |          3 |         15 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Tutorials\Tutorial.cs                                                   | C#          |         11 |          0 |          5 |         16 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Tutorials\TutorialMessageList.cs                                               | C#          |         50 |          8 |         26 |         84 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Generic UI\Tutorials\TutorialMessage.cs                                            | C#          |         71 |          1 |         18 |         90 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\AmountPanel.cs                                                           | C#          |        193 |          0 |         40 |        233 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\Books\BookList.cs                                                        | C#          |        142 |          0 |         10 |        152 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\Books\WorldBookInfo.cs                                                   | C#          |         21 |          0 |          6 |         27 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\EquipWeaponAcceptButton.cs                                               | C#          |         26 |          3 |          5 |         34 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\EquipmentPropertiesList.cs                                               | C#          |         33 |          0 |          9 |         42 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\EquippedActions.cs                                                       | C#          |         66 |          0 |         19 |         85 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\EquippedItems.cs                                                         | C#          |         45 |         13 |         13 |         71 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\Inventory.cs                                                             | C#          |        356 |         77 |        101 |        534 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\InventoryGrid.cs                                                         | C#          |         55 |          5 |         28 |         88 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\InventoryRow.cs                                                          | C#          |         30 |          0 |          8 |         38 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemList.cs                                                              | C#          |        264 |          7 |         58 |        329 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\Armor.cs                                                       | C#          |        122 |          0 |         32 |        154 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\BookItem.cs                                                    | C#          |        123 |          1 |         35 |        159 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\EquippableItem.cs                                              | C#          |        110 |          0 |         27 |        137 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\EssentialItem.cs                                               | C#          |         31 |          0 |         13 |         44 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\HealingItem.cs                                                 | C#          |         51 |          0 |         14 |         65 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\Item.cs                                                        | C#          |        330 |         12 |         82 |        424 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\Key.cs                                                         | C#          |         26 |          0 |          7 |         33 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\OffHandFist.cs                                                 | C#          |         22 |          0 |          6 |         28 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\QuestItem.cs                                                   | C#          |         29 |          0 |          8 |         37 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\RestorationItem.cs                                             | C#          |         51 |          0 |         12 |         63 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\Shield.cs                                                      | C#          |         18 |          0 |          1 |         19 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\SkillReplenishItem.cs                                          | C#          |         38 |          0 |         12 |         50 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\TreasureItem.cs                                                | C#          |         25 |          0 |         10 |         35 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\UseableItem.cs                                                 | C#          |         92 |          0 |         24 |        116 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\ItemTypes\Weapon.cs                                                      | C#          |        242 |          2 |         50 |        294 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\Purse.cs                                                                 | C#          |         55 |          1 |         16 |         72 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\Shops\Shopkeeper.cs                                                      | C#          |         30 |          0 |          8 |         38 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\Shops\ShopkeeperInventoryList.cs                                         | C#          |         69 |          0 |         22 |         91 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Inventory\WeaponSlot.cs                                                            | C#          |         12 |          0 |          4 |         16 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\DragAndDropActionIcon.cs                                                   | C#          |         40 |          0 |         16 |         56 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\PerkDescription.cs                                                         | C#          |         10 |          0 |          6 |         16 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\PerkDescriptionList.cs                                                     | C#          |         48 |         40 |         14 |        102 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\PerkDescriptionSlotPanel.cs                                                | C#          |         11 |          0 |          4 |         15 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\Quests\DeathStep.cs                                                        | C#          |         28 |          0 |          7 |         35 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\Quests\Quest.cs                                                            | C#          |        170 |          4 |         55 |        229 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\Quests\QuestList.cs                                                        | C#          |        161 |          7 |         41 |        209 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\Quests\QuestStep.cs                                                        | C#          |        100 |          1 |         24 |        125 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\Quests\StepDisplayFlag.cs                                                  | C#          |          8 |          0 |          4 |         12 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\StatProgressionTable.cs                                                    | C#          |         61 |          1 |         15 |         77 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\StatProgressionTableEntryRow.cs                                            | C#          |         41 |          0 |          8 |         49 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Journal\UnusedAbilityPanel.cs                                                      | C#          |         21 |          0 |          7 |         28 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\Lessons\LessonUIManager.cs                                                         | C#          |        155 |          0 |         40 |        195 |
| c:\Users\mattr\Isometric Alpha\Assets\src\PlayerActions\LevelUp\EnumButtonPasser.cs                                                        | C#          |          7 |          0 |          4 |         11 |
